abeja,abejorro
aguila,aguilucho
abeja,arana
arenque,atun
abeja,avispa
abejorro,avispa
atun,bacalao
atun,barbo
atun,bonito
barbo,bonito
arana,buey de mar
bisonte,bufalo
buey,bufalo
aguila,buho
aguila,buitre
aguila real,buitre
aguilucho,buitre
asno,burro
buey,burro
asno,caballo
burro,caballo
buey,cabra
burro,cabra
ballena,cachalote
bonito,calamar
camaleon,camello
almeja,cangrejo
barbo,cangrejo
barbo,carpa
boa,cascabel
cangrejo,centollo
asno,cerdo
caballo,cerdo
cabra,cerdo
aguila,cernicalo
buitre,cernicalo
arana,ciempies
alce,ciervo
antilope,ciervo
cangrejo,cigala
avestruz,ciguena
canario,ciguena
ardilla,cisne
boa,cobra
boa,cocodrilo
caiman,cocodrilo
cebra,cocodrilo
aguila,condor
buitre,condor
ardilla,conejo
cerdo,conejo
cobaya,conejo
comadreja,conejo
atun,congrio
almeja,cordero
ciervo,corzo
arana,cucaracha
ciempies,cucaracha
aguila,cuervo
avestruz,cuervo
ciguena,cuervo
buitre,culebra
atun,delfin
ballena,delfin
cachalote,delfin
camello,dromedario
cebra,elefante
cocodrilo,elefante
ciervo,erizo
ciempies,escarabajo
cucaracha,escarabajo
alacran,escorpion
arana,escorpion
ciempies,escorpion
cuervo,escorpion
escarabajo,escorpion
almeja,estrella de mar
caballito de mar,estrella de mar
cangrejo,estrella de mar
escarabajo,estrella de mar
elefante marino,foca
caiman,gacela
ciervo,gacela
asno,gallina
burro,gallina
cabra,gallina
cerdo,gallina
conejo,gallina
cerdo,gallo
conejo,gallo
gallina,gallo
cangrejo,gamba
cigala,gamba
ciervo,gamo
caballo,gato
canario,gato
conejo,gato
ciguena,gavilan
cormoran,gaviota
chimpance,gorila
cerdo,gorrin
cordero,gorrin
aguila,gorrion
avestruz,gorrion
canario,gorrion
ciguena,gorrion
cuervo,gorrion
gaviota,gorrion
golondrina,gorrion
cucaracha,grillo
escarabajo,grillo
arana,gusano
aguila,halcon
buho,halcon
buitre,halcon
caballito de mar,halcon
ciguena,halcon
gaviota,halcon
gorrion,halcon
cobaya,hamster
cebra,hiena
chacal,hiena
cocodrilo,hipopotamo
elefante,hipopotamo
abeja,hormiga
arana,hormiga
avispa,hormiga
cucaracha,hormiga
escarabajo,hormiga
ardilla,huron
cobaya,huron
cucaracha,huron
boa,iguana
caiman,iguana
camaleon,iguana
cocodrilo,iguana
ardilla,jabali
cerdo,jabali
ciervo,jabali
corzo,jabali
guepardo,jaguar
hiena,jaguar
aguila,jilguero
canario,jilguero
gorrion,jilguero
cebra,jirafa
cocodrilo,jirafa
elefante,jirafa
hipopotamo,jirafa
canguro,kiwi
canguro,koala
camaleon,lagartija
camello,lagartija
cocodrilo,lagartija
iguana,lagartija
cocodrilo,lagarto
culebra,lagarto
iguana,lagarto
lagartija,lagarto
bogavante,langosta
cangrejo,langosta
centollo,langosta
cigala,langosta
gamba,langosta
cangrejo,langostino
centollo,langostino
cigala,langostino
gamba,langostino
langosta,langostino
aguila,lechuza
buho,lechuza
ballena,lenguado
besugo,lenguado
caballito de mar,lenguado
cebra,leon
elefante,leon
guepardo,leon
hipopotamo,leon
jirafa,leon
elefante marino,leon marino
foca,leon marino
guepardo,leopardo
hiena,leopardo
jaguar,leopardo
leon,leopardo
conejo,liebre
huron,liebre
jabali,liebre
avestruz,lince
gacela,lince
jaguar,lince
leon,lince
chacal,lobo
coyote,lobo
aguila,lombriz
caracol,lombriz
gusano,lombriz
gusano de seda,lombriz
cacatua,loro
canario,loro
gaviota,loro
besugo,lubina
dorada,lubina
gusano de seda,luciernaga
hormiga,luciernaga
lombriz,luciernaga
gorila,macaco
elefante,mamut
abeja,mariposa
avispa,mariposa
ciempies,mariposa
cucaracha,mariposa
escarabajo,mariposa
gusano,mariposa
hormiga,mariposa
libelula,mariposa
luciernaga,mariposa
cucaracha,mariquita
hormiga,mariquita
libelula,mariquita
lombriz,mariquita
mariposa,mariquita
caballito de mar,medusa
almeja,mejillon
cangrejo,mejillon
anchoa,merluza
atun,merluza
bacalao,merluza
besugo,merluza
calamar,merluza
congrio,merluza
lenguado,merluza
lubina,merluza
canguro,mero
delfin,mero
merluza,mero
aguila,milano
buitre,milano
halcon,milano
chimpance,mono
elefante,mono
gorila,mono
jirafa,mono
leopardo,mono
canguro,morsa
delfin,morsa
foca,morsa
abeja,mosca
arana,mosca
avispa,mosca
caracol,mosca
cucaracha,mosca
garrapata,mosca
gusano,mosca
hormiga,mosca
libelula,mosca
mariposa,mosca
abeja,mosquito
abejorro,mosquito
acaro,mosquito
arana,mosquito
avispa,mosquito
cucaracha,mosquito
gusano,mosquito
hormiga,mosquito
libelula,mosquito
mariposa,mosquito
mosca,mosquito
ciervo,muflon
buey,mula
burro,mula
caballo,mula
buey de mar,necora
cangrejo,necora
cigala,necora
bisonte,nu
buey,nu
bufalo,nu
canguro,nu
cocodrilo,nu
gacela,nu
jirafa,nu
koala,nu
llama,nu
cisne,oca
ganso,oca
jilguero,oca
chimpance,orangutan
gorila,orangutan
mono,orangutan
nutria,orangutan
ballena,orca
cachalote,orca
delfin,orca
foca,orca
leon marino,orca
equidna,ornitorrinco
gacela,ornitorrinco
arana,oruga
gusano,oruga
aguila,oso
foca,oso
koala,oso
lobo,oso
ornitorrinco,oso hormiguero
koala,oso panda
libelula,oso panda
oso,oso panda
oso hormiguero,oso panda
oso panda,oso pardo
foca,oso polar
lobo,oso polar
oso,oso polar
oso panda,oso polar
oso pardo,oso polar
cangrejo,ostra
centollo,ostra
gamba,ostra
mejillon,ostra
burro,oveja
cabra,oveja
carnero,oveja
cerdo,oveja
jabali,oveja
ciguena,pajaro
gato,pajaro
golondrina,pajaro
gorrion,pajaro
lombriz,pajaro
buitre,paloma
ciguena,paloma
cuervo,paloma
gaviota,paloma
gorrion,paloma
paloma,paloma torcaz
cebra,pantera
hiena,pantera
jaguar,pantera
jirafa,pantera
leon,pantera
leopardo,pantera
lince,pantera
oso,pantera
loro,papagayo
cisne,pato
condor,pato
gallina,pato
gallo,pato
ganso,pato
oca,pato
gallina,pavo
gallo,pavo
ganso,pavo
pato,pavo
buho,pavo real
codorniz,pavo real
pavo,pavo real
avestruz,pelicano
ciguena,pelicano
orca,pelicano
cangrejo,percebe
cigala,percebe
buitre,perdiz
codorniz,perdiz
conejo,perdiz
liebre,perdiz
paloma,perdiz
cacatua,periquito
canario,periquito
gato,periquito
jilguero,periquito
loro,periquito
caballo,perro
canario,perro
gato,perro
pajaro,perro
periquito,perro
cuervo,petirrojo
gorrion,petirrojo
atun,pez
ballena,pez
hiena,pez
ballena,pez espada
barbo,pez espada
canguro,pez espada
orca,pez espada
pelicano,pez espada
anchoa,pez gallo
buey,pez manta
pez espada,pez manta
pez espada,pez martillo
perdiz,picaraza
ballena,pinguino
caballito de mar,pinguino
delfin,pinguino
foca,pinguino
leon marino,pinguino
morsa,pinguino
oso,pinguino
oso polar,pinguino
garrapata,piojo
mosquito,piojo
cocodrilo,pirana
gallo,pirana
cobra,piton
avestruz,pollo
cerdo,pollo
conejo,pollo
gallina,pollo
gallo,pollo
pato,pollo
pavo,pollo
burro,potro
caballo,potro
gusano,puercoespin
garrapata,pulga
hormiga,pulga
mosca,pulga
mosquito,pulga
piojo,pulga
anchoa,pulpo
caballito de mar,pulpo
calamar,pulpo
estrella de mar,pulpo
pez martillo,pulpo
camaleon,puma
guepardo,puma
hiena,puma
hipopotamo,puma
jaguar,puma
leopardo,puma
lince,puma
pantera,puma
aguila,quebrantahuesos
buitre,quebrantahuesos
cuervo,quebrantahuesos
halcon,quebrantahuesos
lagarto,rana
pez,rana
merluza,rape
ostra,rape
cobaya,rata
conejo,rata
hamster,rata
mono,rata
cobaya,raton
dromedario,raton
hamster,raton
rata,raton
caballito de mar,raya
cangrejo,raya
medusa,raya
pez espada,raya
pez manta,raya
ciervo,rebeco
bufalo,reno
caribu,reno
ciervo,reno
bisonte,rinoceronte
bufalo,rinoceronte
cebra,rinoceronte
cocodrilo,rinoceronte
elefante,rinoceronte
hiena,rinoceronte
hipopotamo,rinoceronte
jirafa,rinoceronte
nu,rinoceronte
merluza,rodaballo
canario,ruisenor
jilguero,ruisenor
cangrejo,salamandra
lagartija,salamandra
lagarto,salamandra
rana,salamandra
salamandra,salamanquesa
atun,salmon
dorada,salmon
lenguado,salmon
mejillon,salmon
merluza,salmon
pez martillo,salmon
abeja,saltamontes
avispa,saltamontes
cigarra,saltamontes
golondrina,saltamontes
grillo,saltamontes
hormiga,saltamontes
mantis religiosa,saltamontes
mosca,saltamontes
mosquito,saltamontes
culebra,sapo
rana,sapo
anchoa,sardina
atun,sardina
ballena,sardina
bonito,sardina
cachalote,sardina
delfin,sardina
merluza,sardina
mero,sardina
pez espada,sardina
pez gallo,sardina
salmon,sardina
calamar,sepia
gamba,sepia
pulpo,sepia
boa,serpiente
cobra,serpiente
cocodrilo,serpiente
culebra,serpiente
gusano,serpiente
iguana,serpiente
lagartija,serpiente
lagarto,serpiente
loro,serpiente
manati,serpiente
rata,serpiente
raton,serpiente
mosca,tabano
conejo,tejon
liebre,tejon
cabra,ternero
cerdo,ternero
cordero,ternero
oveja,ternero
potro,ternero
ballena,tiburon
delfin,tiburon
lubina,tiburon
orca,tiburon
pez,tiburon
pez espada,tiburon
pez martillo,tiburon
pirana,tiburon
raya,tiburon
sardina,tiburon
cebra,tigre
elefante,tigre
guepardo,tigre
hiena,tigre
jaguar,tigre
jirafa,tigre
leon,tigre
leopardo,tigre
lince,tigre
oso,tigre
pantera,tigre
nutria,topo
ornitorrinco,topo
raton,topo
bisonte,toro
buey,toro
bufalo,toro
burro,toro
caballo,toro
cabra,toro
cabrito,toro
cerdo,toro
oveja,toro
pavo real,toro
poni,toro
ternero,toro
hamster,tortuga
periquito,tortuga
pez,tortuga
tiburon,tortuga
atun,trucha
bacalao,trucha
ballena,trucha
barbo,trucha
bonito,trucha
cangrejo,trucha
lenguado,trucha
lucio,trucha
merluza,trucha
pez espada,trucha
rape,trucha
salmon,trucha
sardina,trucha
tiburon,trucha
serpiente,tucan
papagayo,urogallo
buey,vaca
bufalo,vaca
caballo,vaca
cabra,vaca
cerdo,vaca
conejo,vaca
cordero,vaca
gallina,vaca
oveja,vaca
pollo,vaca
ternero,vaca
toro,vaca
canario,verderol
cobra,vibora
gusano,vibora
koala,vibora
lagartija,vibora
oruga,vibora
piton,vibora
serpiente,vibora
burro,yegua
caballo,yegua
cerdo,yegua
toro,yegua
conejo,zorro
coyote,zorro
jabali,zorro
liebre,zorro
lobo,zorro
